,HomeDaysRest,AwayDaysRest,ConferenceBinary,OpponentConferenceBinary,S2015,S2016,S2017,S2018,S2019,S2020,S2021,S2022,HomeQ3,AwayQ3,Avg_HOFFRATING,Avg_HDEFRATING,Avg_AOFFRATING,Avg_ADEFRATING
32,2.0,3.0,0,0,0,0,0,0,0,0,1,0,80.0,83.0,119.61666666666666,114.53333333333335,119.5,119.86666666666666
33,2.0,2.0,0,1,0,0,0,0,0,0,1,0,97.0,79.0,117.64999999999999,114.55,116.75,111.05
34,2.0,3.0,0,1,0,0,0,0,0,0,1,0,88.0,71.0,121.64999999999999,113.78333333333332,112.31666666666666,100.35000000000001
35,3.0,1.0,0,1,0,0,0,0,0,0,1,0,85.0,86.0,120.46666666666668,109.03333333333335,95.7666666666667,110.91666666666667
36,2.0,1.0,0,1,0,0,0,0,0,0,1,0,109.0,86.0,120.13333333333333,109.14999999999999,107.10000000000001,106.11666666666666
37,1.0,2.0,0,0,0,0,0,0,0,0,1,0,81.0,74.0,122.53333333333335,112.98333333333333,110.43333333333334,114.28333333333332
38,2.0,2.0,0,0,0,0,0,0,0,0,1,0,96.0,83.0,119.46666666666665,109.21666666666665,107.83333333333333,111.05
39,2.0,2.0,0,1,0,0,0,0,0,0,1,0,79.0,74.0,121.46666666666668,110.03333333333335,117.71666666666665,112.0
40,2.0,1.0,0,1,0,0,0,0,0,0,1,0,96.0,79.0,114.56666666666668,110.76666666666667,100.84999999999998,101.7
41,3.0,2.0,0,0,0,0,0,0,0,0,1,0,87.0,95.0,119.66666666666667,113.68333333333334,124.81666666666665,114.16666666666669
42,1.0,1.0,0,0,0,0,0,0,0,0,1,0,102.0,82.0,117.98333333333333,113.63333333333334,107.68333333333334,118.88333333333333
43,2.0,1.0,0,0,0,0,0,0,0,0,1,0,85.0,75.0,115.2,111.55000000000001,119.89999999999999,115.43333333333334
44,2.0,2.0,0,0,0,0,0,0,0,0,1,0,87.0,78.0,117.28333333333332,111.09999999999998,111.73333333333335,113.45
45,1.0,2.0,0,1,0,0,0,0,0,0,1,0,87.0,85.0,114.35000000000001,108.03333333333332,108.41666666666667,115.56666666666666
46,2.0,2.0,0,1,0,0,0,0,0,0,1,0,89.0,69.0,119.28333333333335,108.09999999999998,117.33333333333333,107.71666666666668
47,1.0,2.0,0,1,0,0,0,0,0,0,1,0,104.0,97.0,114.61666666666669,104.38333333333334,112.8,112.11666666666667
48,3.0,2.0,0,0,0,0,0,0,0,1,0,0,82.0,73.0,108.73333333333333,104.33333333333336,107.7,103.96666666666665
49,2.0,2.0,0,1,0,0,0,0,0,1,0,0,70.0,57.0,110.10000000000001,103.83333333333333,108.33333333333333,97.86666666666666
50,2.0,2.0,0,1,0,0,0,0,0,1,0,0,86.0,69.0,109.91666666666667,103.44999999999999,114.33333333333333,113.61666666666667
51,3.0,2.0,0,0,0,0,0,0,0,1,0,0,76.0,84.0,110.43333333333332,102.53333333333332,117.06666666666666,112.66666666666667
52,2.0,2.0,0,0,0,0,0,0,0,1,0,0,89.0,78.0,106.26666666666665,99.03333333333335,110.46666666666665,113.28333333333335
53,2.0,3.0,0,0,0,0,0,0,0,1,0,0,82.0,68.0,110.38333333333333,101.81666666666666,107.13333333333333,104.43333333333334
54,1.0,2.0,0,1,0,0,0,0,0,1,0,0,87.0,84.0,110.86666666666667,102.85000000000001,101.26666666666667,117.96666666666665
55,3.0,1.0,0,1,0,0,0,0,0,1,0,0,84.0,76.0,114.43333333333332,106.21666666666668,110.60000000000001,107.73333333333335
56,2.0,2.0,0,0,0,0,0,0,0,1,0,0,82.0,75.0,112.63333333333333,105.26666666666667,116.46666666666668,120.81666666666666
57,2.0,2.0,0,0,0,0,0,0,0,1,0,0,80.0,84.0,113.28333333333332,106.7,100.08333333333333,109.58333333333333
58,3.0,2.0,0,0,0,0,0,0,0,1,0,0,82.0,68.0,114.46666666666668,108.41666666666667,109.26666666666667,110.06666666666666
