,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT
113,LAC2020-12-30,21.0,8.0,22.0,2.0,11.0,0.1818181818181818,3.0,5.0,3.0,12.0,15.0,6.0,6.0,2.0,2.0,1.0,6.0,4.0,0.6,0.3636363636363636
114,LAL2020-12-30,29.0,11.0,19.0,3.0,4.0,0.75,4.0,6.0,2.0,8.0,10.0,4.0,2.0,0.0,0.0,1.0,7.0,5.0,0.6666666666666666,0.5789473684210527
115,MEM2020-12-30,36.0,13.0,26.0,5.0,10.0,0.5,5.0,8.0,5.0,7.0,12.0,10.0,3.0,2.0,0.0,5.0,2.0,5.0,0.625,0.5
116,MIA2020-12-30,31.0,8.0,22.0,5.0,14.0,0.3571428571428571,10.0,13.0,7.0,10.0,17.0,5.0,4.0,2.0,2.0,3.0,5.0,10.0,0.7692307692307693,0.3636363636363636
117,MIL2020-12-30,17.0,6.0,23.0,1.0,5.0,0.2,4.0,4.0,5.0,7.0,12.0,4.0,5.0,3.0,3.0,2.0,10.0,5.0,1.0,0.2608695652173913
118,POR2020-12-30,20.0,8.0,21.0,0.0,7.0,0.0,4.0,7.0,2.0,12.0,14.0,3.0,4.0,3.0,1.0,2.0,4.0,6.0,0.5714285714285714,0.3809523809523809
119,SAS2020-12-30,25.0,8.0,18.0,2.0,6.0,0.3333333333333333,7.0,8.0,2.0,7.0,9.0,4.0,3.0,0.0,1.0,0.0,5.0,7.0,0.875,0.4444444444444444
120,CHI2020-12-31,26.0,7.0,20.0,1.0,9.0,0.1111111111111111,11.0,12.0,2.0,9.0,11.0,4.0,3.0,3.0,1.0,2.0,7.0,9.0,0.9166666666666666,0.35
121,CLE2020-12-31,31.0,12.0,19.0,4.0,5.0,0.8,3.0,6.0,1.0,6.0,7.0,7.0,5.0,1.0,1.0,0.0,5.0,6.0,0.5,0.631578947368421
122,HOU2020-12-31,35.0,9.0,19.0,4.0,9.0,0.4444444444444444,13.0,17.0,5.0,7.0,12.0,5.0,6.0,3.0,1.0,0.0,2.0,10.0,0.7647058823529411,0.4736842105263157
123,IND2020-12-31,31.0,10.0,22.0,2.0,7.0,0.2857142857142857,9.0,11.0,3.0,8.0,11.0,6.0,3.0,5.0,0.0,1.0,6.0,5.0,0.8181818181818182,0.4545454545454545
124,NOP2020-12-31,28.0,10.0,18.0,6.0,10.0,0.6,2.0,4.0,2.0,13.0,15.0,6.0,5.0,5.0,1.0,1.0,6.0,6.0,0.5,0.5555555555555556
125,NYK2020-12-31,19.0,5.0,18.0,1.0,10.0,0.1,8.0,11.0,0.0,8.0,8.0,3.0,3.0,2.0,0.0,2.0,5.0,8.0,0.7272727272727273,0.2777777777777778
126,OKC2020-12-31,7.0,3.0,16.0,1.0,9.0,0.1111111111111111,0.0,4.0,1.0,7.0,8.0,3.0,7.0,3.0,1.0,1.0,6.0,6.0,0.0,0.1875
127,ORL2020-12-31,23.0,8.0,23.0,1.0,4.0,0.25,6.0,6.0,3.0,12.0,15.0,4.0,4.0,1.0,1.0,3.0,3.0,6.0,1.0,0.3478260869565217
128,PHI2020-12-31,18.0,8.0,21.0,1.0,8.0,0.125,1.0,1.0,1.0,11.0,12.0,1.0,6.0,3.0,3.0,1.0,6.0,3.0,1.0,0.3809523809523809
129,PHX2020-12-31,23.0,9.0,17.0,5.0,8.0,0.625,0.0,1.0,0.0,10.0,10.0,6.0,5.0,0.0,4.0,1.0,3.0,4.0,0.0,0.5294117647058824
130,SAC2020-12-31,33.0,14.0,27.0,2.0,10.0,0.2,3.0,4.0,4.0,7.0,11.0,8.0,3.0,4.0,0.0,1.0,10.0,2.0,0.75,0.5185185185185185
131,TOR2020-12-31,29.0,10.0,19.0,4.0,10.0,0.4,5.0,7.0,1.0,14.0,15.0,5.0,4.0,2.0,2.0,0.0,8.0,5.0,0.7142857142857143,0.5263157894736842
132,UTA2020-12-31,25.0,9.0,24.0,5.0,12.0,0.4166666666666667,2.0,2.0,4.0,9.0,13.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,1.0,0.375
133,WAS2020-12-31,30.0,9.0,19.0,4.0,7.0,0.5714285714285714,8.0,13.0,1.0,10.0,11.0,6.0,3.0,2.0,2.0,1.0,9.0,7.0,0.6153846153846154,0.4736842105263157
134,ATL2021-01-01,25.0,9.0,20.0,5.0,11.0,0.4545454545454545,2.0,4.0,1.0,7.0,8.0,6.0,2.0,1.0,0.0,2.0,5.0,5.0,0.5,0.45
135,BOS2021-01-01,20.0,7.0,22.0,3.0,14.0,0.2142857142857142,3.0,5.0,3.0,11.0,14.0,4.0,4.0,2.0,3.0,0.0,7.0,6.0,0.6,0.3181818181818182
